Year,Month,TimeOfDay,District,Community_Area,CrimeCount
2001,2,Evening,9,59,7
2001,2,Evening,9,60,27
2001,2,Evening,9,60.5,1
2001,2,Evening,9,60.90476190476191,11
2001,2,Evening,9,61,91
2001,2,Evening,9,63,5
2001,2,Evening,10,-1,451
2001,2,Evening,10,29,28
2001,2,Evening,10,29.33333333333333,2
2001,2,Evening,10,29.4,1
2001,2,Evening,10,30,21
2001,2,Evening,10,31,13
2001,2,Evening,11,-1,361
2001,2,Evening,11,23,34
2001,2,Evening,11,25,27
2001,2,Evening,11,26,67
2001,2,Evening,11,27,88
2001,2,Evening,11,27.8,1
2001,2,Evening,11,28,17
2001,2,Evening,11,29,33
2001,2,Evening,12,-1,282
2001,2,Evening,12,23,5
2001,2,Evening,12,24,91
2001,2,Evening,12,27,28
2001,2,Evening,12,28,151
2001,2,Evening,12,31,28
2001,2,Evening,14,-1,418
