Year,Month,TimeOfDay,District,Community_Area,CrimeCount,Arrests
2001,1,Evening,25,22,9,3
2001,1,Evening,25,23,26,14
2001,1,Evening,25,25,19,5
2001,1,Morning,1,-1,83,9
2001,1,Morning,1,28,46,15
2001,1,Morning,1,32,182,43
2001,1,Morning,1,32.12,1,0
2001,1,Morning,1,33,8,3
2001,1,Morning,1,33.75,1,0
2001,1,Morning,2,-1,405,130
2001,1,Morning,2,33,24,11
2001,1,Morning,2,33.977777777777774,2,2
2001,1,Morning,2,34,3,1
2001,1,Morning,2,35,44,29
2001,1,Morning,2,36.66666666666666,2,0
2001,1,Morning,2,37,2,1
2001,1,Morning,2,37.59090909090909,3,1
2001,1,Morning,2,38,65,49
2001,1,Morning,2,39,2,0
2001,1,Morning,2,40,2,0
2001,1,Morning,2,41,2,0
2001,1,Morning,2,68,1,0
2001,1,Morning,3,-1,285,65
2001,1,Morning,3,41,1,1
2001,1,Morning,3,43,7,1
2001,1,Morning,3,59.333333333333336,1,0
2001,1,Morning,3,69,5,0
2001,1,Morning,4,-1,310,66
2001,1,Morning,4,43,2,1
2001,1,Morning,4,43.5,4,0
2001,1,Morning,4,43.93103448275862,1,0
2001,1,Morning,4,46,4,0
2001,1,Morning,4,52,20,0
2001,1,Morning,4,55,3,0
2001,1,Morning,5,-1,225,52
2001,1,Morning,5,49,8,4
2001,1,Morning,5,53,13,1
2001,1,Morning,5,54,1,0
2001,1,Morning,6,-1,326,87
2001,1,Morning,6,44,4,0
2001,1,Morning,6,49,3,0
2001,1,Morning,6,69,2,1
2001,1,Morning,6,71,70,10
2001,1,Morning,7,-1,229,67
2001,1,Morning,7,67,43,7
2001,1,Morning,7,68,70,12
2001,1,Morning,7,68.14285714285714,1,0
2001,1,Morning,8,-1,419,95
2001,1,Morning,8,57,3,2
2001,1,Morning,8,62,3,0
2001,1,Morning,8,63,6,1
2001,1,Morning,8,65,12,4
2001,1,Morning,8,65.83333333333333,1,0
2001,1,Morning,8,66,21,1
2001,1,Morning,8,66.875,1,0
2001,1,Morning,8,70,5,1
2001,1,Morning,9,-1,244,68
2001,1,Morning,9,34,6,1
2001,1,Morning,9,36.5,2,1
2001,1,Morning,9,37,2,0
2001,1,Morning,9,58,12,2
2001,1,Morning,9,59,10,4
2001,1,Morning,9,60,17,3
2001,1,Morning,9,61,49,14
2001,1,Morning,9,63,3,0
2001,1,Morning,10,-1,221,77
2001,1,Morning,10,29,13,3
2001,1,Morning,10,30,9,3
2001,1,Morning,10,31,9,1
2001,1,Morning,11,-1,205,80
2001,1,Morning,11,23,24,8
2001,1,Morning,11,25,10,6
2001,1,Morning,11,26,44,13
2001,1,Morning,11,27,54,27
2001,1,Morning,11,28,9,3
2001,1,Morning,11,29,18,9
2001,1,Morning,12,-1,189,59
2001,1,Morning,12,24,55,4
2001,1,Morning,12,27,9,3
2001,1,Morning,12,28,97,27
2001,1,Morning,12,31,23,8
2001,1,Morning,14,-1,254,58
2001,1,Morning,14,21,2,0
2001,1,Morning,14,22,21,2
2001,1,Morning,14,23,5,2
2001,1,Morning,14,23.666666666666668,1,0
2001,1,Morning,14,24,29,8
2001,1,Morning,15,-1,214,92
2001,1,Morning,15,25,90,46
2001,1,Morning,16,-1,137,17
2001,1,Morning,16,10,2,0
2001,1,Morning,16,11,2,1
2001,1,Morning,16,15,29,5
2001,1,Morning,16,17,13,4
2001,1,Morning,16,76,46,21
2001,1,Morning,17,-1,164,28
2001,1,Morning,17,13,4,1
2001,1,Morning,17,13.675,1,1
2001,1,Morning,17,14,10,0
2001,1,Morning,17,15,3,1
2001,1,Morning,17,16,26,5
2001,1,Morning,17,17.176470588235293,1,1
2001,1,Morning,17,17.923076923076923,1,1
2001,1,Morning,17,18.5,1,0
2001,1,Morning,17,19.75,1,0
2001,1,Morning,17,20,2,1
2001,1,Morning,17,20.33333333333333,1,0
2001,1,Morning,17,21,10,2
2001,1,Morning,18,-1,133,22
2001,1,Morning,18,7,28,4
2001,1,Morning,18,8,170,46
2001,1,Morning,19,-1,205,58
2001,1,Morning,19,3,34,10
2001,1,Morning,19,4,1,0
2001,1,Morning,19,4.2,1,0
2001,1,Morning,19,4.536585365853658,2,1
2001,1,Morning,19,5,15,6
2001,1,Morning,19,5.333333333333333,1,0
2001,1,Morning,19,6,44,7
2001,1,Morning,19,7,18,4
2001,1,Morning,20,-1,92,32
2001,1,Morning,20,3,16,7
2001,1,Morning,20,4,5,0
2001,1,Morning,20,77,19,5
2001,1,Morning,22,-1,163,28
2001,1,Morning,22,49,9,3
2001,1,Morning,22,53,1,0
